timestamp;buyer;seller;symbol;currency;price;quantity
100;;SUBMISSION;KELP;SEASHELLS;2034;1
100;;SUBMISSION;KELP;SEASHELLS;2034;1
100;;SUBMISSION;RAINFOREST_RESIN;SEASHELLS;10002;1
200;;SUBMISSION;KELP;SEASHELLS;2034;1
200;;SUBMISSION;RAINFOREST_RESIN;SEASHELLS;10003;1
300;;SUBMISSION;KELP;SEASHELLS;2034;1
300;;SUBMISSION;KELP;SEASHELLS;2034;1
500;;SUBMISSION;KELP;SEASHELLS;2034;1
700;SUBMISSION;;KELP;SEASHELLS;2033;1
800;SUBMISSION;;KELP;SEASHELLS;2033;3
800;SUBMISSION;;KELP;SEASHELLS;2033;6
800;SUBMISSION;;KELP;SEASHELLS;2033;1
800;SUBMISSION;;RAINFOREST_RESIN;SEASHELLS;10000;2
800;SUBMISSION;;RAINFOREST_RESIN;SEASHELLS;9997;1
900;;SUBMISSION;KELP;SEASHELLS;2034;15
900;SUBMISSION;;RAINFOREST_RESIN;SEASHELLS;9998;11
1200;SUBMISSION;;KELP;SEASHELLS;2032;1
1200;SUBMISSION;;KELP;SEASHELLS;2032;2
1200;SUBMISSION;;KELP;SEASHELLS;2032;1
1300;;SUBMISSION;RAINFOREST_RESIN;SEASHELLS;10002;1
1400;SUBMISSION;;KELP;SEASHELLS;2033;6
1500;SUBMISSION;;RAINFOREST_RESIN;SEASHELLS;9998;4
1800;;SUBMISSION;RAINFOREST_RESIN;SEASHELLS;10000;4
1900;SUBMISSION;;KELP;SEASHELLS;2033;1
2200;SUBMISSION;;RAINFOREST_RESIN;SEASHELLS;9998;4
2600;;SUBMISSION;RAINFOREST_RESIN;SEASHELLS;10002;1
3200;SUBMISSION;;KELP;SEASHELLS;2033;5
3200;;SUBMISSION;RAINFOREST_RESIN;SEASHELLS;10002;2
3300;;SUBMISSION;RAINFOREST_RESIN;SEASHELLS;10002;1
3700;SUBMISSION;;RAINFOREST_RESIN;SEASHELLS;9999;1
4000;SUBMISSION;;KELP;SEASHELLS;2033;1
4000;;SUBMISSION;RAINFOREST_RESIN;SEASHELLS;10002;1
4100;;SUBMISSION;RAINFOREST_RESIN;SEASHELLS;10000;5
4200;;SUBMISSION;RAINFOREST_RESIN;SEASHELLS;10002;5
4300;SUBMISSION;;KELP;SEASHELLS;2033;2
4800;;SUBMISSION;KELP;SEASHELLS;2034;1
5200;SUBMISSION;;KELP;SEASHELLS;2033;5
5200;SUBMISSION;;KELP;SEASHELLS;2033;4
5200;;SUBMISSION;RAINFOREST_RESIN;SEASHELLS;10000;1
5300;SUBMISSION;;RAINFOREST_RESIN;SEASHELLS;9998;12
5400;;SUBMISSION;RAINFOREST_RESIN;SEASHELLS;10004;1
5500;SUBMISSION;;KELP;SEASHELLS;2033;8
5500;;SUBMISSION;RAINFOREST_RESIN;SEASHELLS;10003;1
6200;;SUBMISSION;KELP;SEASHELLS;2034;1
6200;;SUBMISSION;KELP;SEASHELLS;2034;1
6300;;SUBMISSION;KELP;SEASHELLS;2034;11
6600;SUBMISSION;;KELP;SEASHELLS;2033;7
6700;;SUBMISSION;RAINFOREST_RESIN;SEASHELLS;10003;1
6800;SUBMISSION;;KELP;SEASHELLS;2033;1
6800;;SUBMISSION;RAINFOREST_RESIN;SEASHELLS;10000;5
7100;SUBMISSION;;RAINFOREST_RESIN;SEASHELLS;9998;5
7200;SUBMISSION;;RAINFOREST_RESIN;SEASHELLS;9997;1
7200;;SUBMISSION;RAINFOREST_RESIN;SEASHELLS;10001;1
7400;;SUBMISSION;KELP;SEASHELLS;2034;13
7400;;SUBMISSION;RAINFOREST_RESIN;SEASHELLS;10002;1
7600;;SUBMISSION;RAINFOREST_RESIN;SEASHELLS;10002;1
8000;;SUBMISSION;KELP;SEASHELLS;2034;1
8000;;SUBMISSION;KELP;SEASHELLS;2034;1
8000;;SUBMISSION;RAINFOREST_RESIN;SEASHELLS;10000;3
8200;SUBMISSION;;KELP;SEASHELLS;2033;1
8200;SUBMISSION;;RAINFOREST_RESIN;SEASHELLS;9997;1
8700;;SUBMISSION;KELP;SEASHELLS;2034;1
9100;SUBMISSION;;RAINFOREST_RESIN;SEASHELLS;9998;1
9300;;SUBMISSION;RAINFOREST_RESIN;SEASHELLS;10002;11
9400;;SUBMISSION;RAINFOREST_RESIN;SEASHELLS;10002;1
9500;;SUBMISSION;RAINFOREST_RESIN;SEASHELLS;10002;1
9700;SUBMISSION;;RAINFOREST_RESIN;SEASHELLS;10000;4
10100;;SUBMISSION;RAINFOREST_RESIN;SEASHELLS;10002;4
10300;;SUBMISSION;KELP;SEASHELLS;2035;1
10300;;SUBMISSION;RAINFOREST_RESIN;SEASHELLS;10003;1
10600;;SUBMISSION;KELP;SEASHELLS;2035;3
10600;SUBMISSION;;KELP;SEASHELLS;2034;4
10700;SUBMISSION;;RAINFOREST_RESIN;SEASHELLS;9998;3
10800;SUBMISSION;;KELP;SEASHELLS;2034;6
10800;SUBMISSION;;KELP;SEASHELLS;2034;6
10900;SUBMISSION;;KELP;SEASHELLS;2034;6
10900;SUBMISSION;;RAINFOREST_RESIN;SEASHELLS;10000;5
11700;;SUBMISSION;KELP;SEASHELLS;2034;4
11800;SUBMISSION;;KELP;SEASHELLS;2033;4
11900;;SUBMISSION;KELP;SEASHELLS;2034;4
11900;;SUBMISSION;RAINFOREST_RESIN;SEASHELLS;10002;1
12100;SUBMISSION;;RAINFOREST_RESIN;SEASHELLS;9998;8
12400;;SUBMISSION;RAINFOREST_RESIN;SEASHELLS;10002;1
12500;;SUBMISSION;RAINFOREST_RESIN;SEASHELLS;10000;3
12600;;SUBMISSION;RAINFOREST_RESIN;SEASHELLS;10000;3
12700;;SUBMISSION;RAINFOREST_RESIN;SEASHELLS;10002;1
13100;SUBMISSION;;KELP;SEASHELLS;2033;2
13100;SUBMISSION;;KELP;SEASHELLS;2033;4
13100;SUBMISSION;;KELP;SEASHELLS;2033;2
13100;SUBMISSION;;RAINFOREST_RESIN;SEASHELLS;10000;1
13200;;SUBMISSION;KELP;SEASHELLS;2034;1
13300;;SUBMISSION;RAINFOREST_RESIN;SEASHELLS;10002;2
13700;;SUBMISSION;RAINFOREST_RESIN;SEASHELLS;10002;1
13900;SUBMISSION;;KELP;SEASHELLS;2033;3
14000;SUBMISSION;;KELP;SEASHELLS;2033;1
14000;;SUBMISSION;RAINFOREST_RESIN;SEASHELLS;10002;6
14100;SUBMISSION;;KELP;SEASHELLS;2033;15
14400;SUBMISSION;;KELP;SEASHELLS;2033;1
14400;SUBMISSION;;KELP;SEASHELLS;2033;2
14400;;SUBMISSION;RAINFOREST_RESIN;SEASHELLS;10002;4
14600;SUBMISSION;;KELP;SEASHELLS;2033;2
14800;SUBMISSION;;RAINFOREST_RESIN;SEASHELLS;9998;1
14900;;SUBMISSION;KELP;SEASHELLS;2034;4
15000;SUBMISSION;;KELP;SEASHELLS;2033;1
15100;SUBMISSION;;RAINFOREST_RESIN;SEASHELLS;9998;1
15500;SUBMISSION;;RAINFOREST_RESIN;SEASHELLS;9998;11
15800;;SUBMISSION;KELP;SEASHELLS;2035;2
15800;;SUBMISSION;RAINFOREST_RESIN;SEASHELLS;10003;2
15900;SUBMISSION;;KELP;SEASHELLS;2033;3
15900;SUBMISSION;;KELP;SEASHELLS;2033;2
16200;;SUBMISSION;RAINFOREST_RESIN;SEASHELLS;10001;3
16300;SUBMISSION;;RAINFOREST_RESIN;SEASHELLS;9997;1
16300;SUBMISSION;;RAINFOREST_RESIN;SEASHELLS;9997;1
16700;;SUBMISSION;RAINFOREST_RESIN;SEASHELLS;10002;1
17400;;SUBMISSION;KELP;SEASHELLS;2035;2
17400;SUBMISSION;;RAINFOREST_RESIN;SEASHELLS;9998;11
17500;;SUBMISSION;KELP;SEASHELLS;2035;12
17800;SUBMISSION;;RAINFOREST_RESIN;SEASHELLS;9998;3
17900;;SUBMISSION;KELP;SEASHELLS;2035;1
17900;;SUBMISSION;KELP;SEASHELLS;2035;1
17900;SUBMISSION;;RAINFOREST_RESIN;SEASHELLS;9998;1
18100;SUBMISSION;;KELP;SEASHELLS;2034;8
18200;SUBMISSION;;KELP;SEASHELLS;2034;1
18200;SUBMISSION;;RAINFOREST_RESIN;SEASHELLS;9997;1
18200;;SUBMISSION;RAINFOREST_RESIN;SEASHELLS;10001;9
18400;;SUBMISSION;KELP;SEASHELLS;2035;1
18600;SUBMISSION;;KELP;SEASHELLS;2034;8
18700;;SUBMISSION;RAINFOREST_RESIN;SEASHELLS;10002;1
18900;;SUBMISSION;RAINFOREST_RESIN;SEASHELLS;10002;1
19300;SUBMISSION;;RAINFOREST_RESIN;SEASHELLS;9998;6
19600;;SUBMISSION;KELP;SEASHELLS;2035;11
19600;;SUBMISSION;RAINFOREST_RESIN;SEASHELLS;10002;1
19900;SUBMISSION;;RAINFOREST_RESIN;SEASHELLS;9998;1
19900;SUBMISSION;;RAINFOREST_RESIN;SEASHELLS;9997;1
20000;SUBMISSION;;RAINFOREST_RESIN;SEASHELLS;9998;1
20100;SUBMISSION;;RAINFOREST_RESIN;SEASHELLS;9998;4
20200;;SUBMISSION;RAINFOREST_RESIN;SEASHELLS;10002;1
20300;;SUBMISSION;RAINFOREST_RESIN;SEASHELLS;10002;4
20400;;SUBMISSION;RAINFOREST_RESIN;SEASHELLS;10002;2
20500;SUBMISSION;;KELP;SEASHELLS;2034;2
